1,1
1011.575,1011.575
1023.9,1023.9
1004.325,1004.325
1010.45,1010.45
1014.025,1014.025
1005.825,1005.825
1000.025,1000.025
996.05,996.05
1013.25,1013.25
998.825,998.825
987.525,987.525
990.45,990.45
999.35,999.35
995.7,995.7
1001.95,1001.95
995.35,995.35
1023.85,1023.85
1000.4,1000.4
995.1,995.1
990.45,990.45
1005.25,1005.25
990.15,990.15
984.35,984.35
997.4,997.4
988,988
990.3,990.3
983.3,983.3
980.5,980.5
957.5,957.5
938,938
937.5,937.5
950.15,950.15
971.25,971.25
984,984
989.05,989.05
1001.85,1001.85
1001.25,1001.25
1112.65,1112.65
1103.15,1103.15
1098,1098
1087.6,1087.6
1065.3,1065.3
1062.85,1062.85
1085.4,1085.4
1070,1070
1077.05,1077.05
1078.95,1078.95
1057.25,1057.25
1086.35,1086.35
1086.95,1086.95
1095.6,1095.6
1086,1086
1109.15,1109.15
1144.4,1144.4
1158,1158
1149.25,1149.25
1142.15,1142.15
1164.35,1164.35
1175.55,1175.55
1134.55,1134.55
1149.9,1149.9
1092.05,1092.05
1085.65,1085.65
1064.6,1064.6
1082.8,1082.8
1111.05,1111.05
1094.4,1094.4
1089,1089
